paper_id,methods,model1,model2,model3,model4,model5,model6
connections-between-relational-event-model,"DQN, Dense Connections, Q-Learning, REM, Convolution",Q-Learning,,,,,
gender-prediction-based-on-vietnamese-names,"Tanh Activation, fastText, LSTM, Sigmoid Activation",LSTM,,,,,
multi-view-graph-contrastive-representation,"GCN, Contrastive Learning",GCN,,,,,
robustness-aware-2-bit-quantization-with-real,"Global Average Pooling, Convolution, Softmax, Max Pooling, 1x1 Convolution, Fire Module, ReLU, Dropout, Xavier Initialization, Residual Connection, SqueezeNet, Average Pooling",SqueezeNet,,,,,
sobolev-training-of-thermodynamic-informed,GRU,GRU,,,,,
transferable-graph-optimizers-for-ml,"Adaptive Softmax, Layer Normalization, Inception-v3, Scaled Dot-Product Attention, Convolution, Softmax, Transformer-XL, Max Pooling, Linear Warmup With Cosine Annealing, 1x1 Convolution, ReLU, Adam, Dropout, Linear Layer, Variational Dropout, Adaptive Input Representations, Average Pooling, Dense Connections, Cosine Annealing, Label Smoothing, WaveNet, Dilated Causal Convolution, Mixture of Logistic Distributions, Inception-v3 Module, Multi-Head Attention, Auxiliary Classifier, Residual Connection",Transformer-XL,Transformer,,,,
a-simple-spectral-failure-mode-for-graph,GCN,GCN,,,,,
ice-monitoring-in-swiss-lakes-from-optical,"DeepLabv3, Dilated Convolution, ASPP, 1x1 Convolution, SVM, Spatial Pyramid Pooling, Batch Normalization",SVM,,,,,
t-2-net-a-semi-supervised-deep-model-for,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
graphmdn-leveraging-graph-structure-and-deep,GCN,GCN,,,,,
co-embedding-of-nodes-and-edges-with-graph,"GCN, Convolution",GCN,,,,,
transgender-community-sentiment-analysis-from,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
eegsig-machine-learning-based-toolbox-for-end,SVM,SVM,,,,,
electromagnetic-source-imaging-via-a-data,"Denoising Autoencoder, AutoEncoder",Autoencoder,,,,,
strongly-incremental-constituency-parsing,Graph Neural Network,GNN,,,,,
gens-generative-encoding-networks,AutoEncoder,Autoencoder,,,,,
test-set-optimization-by-machine-learning,SVM,SVM,,,,,
accurate-prostate-cancer-detection-and,"Mask R-CNN, RPN, RoIAlign, Convolution, Softmax",CNN,,,,,
generalized-insider-attack-detection,SVM,SVM,,,,,
using-a-binary-classification-model-to,Logistic Regression,Logistic Regression,,,,,
agebo-tabular-joint-neural-architecture-and,Aging Evolution,GIN,,,,,
machine-learning-for-dynamic-resource,"Linear Regression, SVM",SVM,Linear Regression,,,,
rumor-detection-on-twitter-using-multiloss,"Tanh Activation, LSTM, Sigmoid Activation, BiLSTM",LSTM,BiLSTM,,,,
introducing-various-semantic-models-for,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, RoBERTa, Weight Decay",BERT,RoBERTa,,,,
identifying-exoplanets-with-deep-learning-iv,"Linear Regression, Gaussian Process",Linear Regression,Gaussian Process,,,,
unsupervised-intrusion-detection-system-for,AutoEncoder,Autoencoder,,,,,
using-a-bi-directional-lstm-model-with,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
machine-learning-assisted-chimera-and,SVM,SVM,,,,,
autoencoding-features-for-aviation-machine,AutoEncoder,Autoencoder,,,,,
gain-graph-attention-interaction-network-for,Graph Neural Network,GNN,,,,,
a-scalable-approach-for-privacy-preserving,Logistic Regression,Logistic Regression,,,,,
coder-knowledge-infused-cross-lingual-medical,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Contrastive Learning, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
aml-svm-adaptive-multilevel-learning-with,SVM,SVM,,,,,
polymers-for-extreme-conditions-designed,Gaussian Process,Gaussian Process,,,,,
direction-matters-on-the-implicit-1,"Linear Regression, SGD, Early Stopping",Linear Regression,,,,,
fighting-an-infodemic-covid-19-fake-news,"Logistic Regression, SVM",SVM,Logistic Regression,,,,
bangla-text-classification-using-transformers,"Layer Normalization, Dense Connections, Label Smoothing, Transformer, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, Multi-Head Attention, Adam, Absolute Position Encodings, Dropout, BPE, Linear Layer, Residual Connection",Transformer,,,,,
causality-aware-counterfactual-confounding,Linear Regression,Linear Regression,,,,,
fast-and-accurate-pseudoinverse-with-sparse,Linear Regression,Linear Regression,,,,,
google-trends-analysis-of-covid-19,Linear Regression,Linear Regression,,,,,
curse-of-small-sample-size-in-forecasting-of,"Linear Regression, Feature Selection",Linear Regression,,,,,
generation-of-human-aware-navigation-maps,Graph Neural Network,GNN,,,,,
a-systematic-comparison-of-encrypted-machine,"Layer Normalization, Dense Connections, Label Smoothing, Transformer, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, Multi-Head Attention, Adam, Absolute Position Encodings, Dropout, BPE, Linear Layer, Residual Connection",Transformer,,,,,
multilingual-irony-detection-with-dependency,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
energy-consumption-forecasting-using-a,Gaussian Process,Gaussian Process,,,,,
stochastic-gradient-descent-in-correlated,"Gaussian Process, SGD",Gaussian Process,,,,,
random-walk-graph-neural-networks,Graph Neural Network,GNN,,,,,
hurricane-forecasting-a-novel-multimodal,"GRU, Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, Adam, Absolute Position Encodings, BPE, Dropout, Linear Layer",Transformer,GRU,,,,
automatic-human-sleep-stage-scoring-using,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
end-to-end-learning-from-noisy-crowd-to,SVM,SVM,,,,,
population-synthesis-for-urban-resident,cVAE,VAE,,,,,
using-graph-neural-networks-to-reconstruct,Graph Neural Network,GNN,,,,,
on-the-equivalence-of-molecular-graph-1,"GCN, Linear Layer",GCN,,,,,
learning-from-task-descriptions,"Dropout, BPE, Linear Layer, Attention Dropout, GELU, T5, Dense Connections, SentencePiece, Inverse Square Root Schedule, GLU, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Adafactor",T5,,,,,
a-large-scale-database-for-graph,Graph Neural Network,GNN,,,,,
tonic-a-deep-reinforcement-learning-library,"D4PG, TD3, Target Policy Smoothing, Convolution, Weight Decay, 1x1 Convolution, Adam, ReLU, N-step Returns, A2C, Batch Normalization, Clipped Double Q-learning, PPO, SAC, Dilated Convolution, TRPO, Average Pooling, Dense Connections, Global Average Pooling, DDPG, Entropy Regularization, Experience Replay, Prioritized Experience Replay",Q-Learning,,,,,
sentiment-analysis-for-sinhala-language-using,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
assessing-wireless-sensing-potential-with,"Denoising Autoencoder, AutoEncoder",Autoencoder,,,,,
avoiding-communication-in-logistic-regression,"Logistic Regression, SGD",Logistic Regression,,,,,
machine-learning-for-phase-behavior-in-active,Graph Neural Network,GNN,,,,,
a-knowledge-distillation-ensemble-framework,"LSTM, AutoEncoder",LSTM,Autoencoder,,,,
learning-control-for-transmission-and,"Linear Layer, Tanh Activation, LSTM, Sigmoid Activation, Parrot, Scaled Dot-Product Attention, Softmax",LSTM,,,,,
machine-learning-number-fields,Logistic Regression,Logistic Regression,,,,,
a-stable-high-order-tuner-for-general-convex,Linear Regression,Linear Regression,,,,,
sentilstm-a-deep-learning-approach-for,"Tanh Activation, LSTM, Sigmoid Activation, BiLSTM",LSTM,BiLSTM,,,,
anderson-acceleration-of-coordinate-descent,Logistic Regression,Logistic Regression,,,,,
long-short-term-memory-networks-for-bandwidth,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
dual-contradistinctive-generative-autoencoder-1,"AutoEncoder, VAE",VAE,Autoencoder,,,,
pareto-efficient-acquisition-functions-for,Gaussian Process,Gaussian Process,,,,,
neural-network-gaussian-process-considering,Gaussian Process,Gaussian Process,,,,,
making-graph-neural-networks-worth-it-for-low,"Graph Neural Network, MAML",GNN,,,,,
ai-discovering-a-coordinate-system-of,"AutoEncoder, Beta-VAE",VAE,Autoencoder,,,,
solving-the-lunar-lander-problem-under,"Q-Learning, Sarsa",Q-Learning,,,,,
benchmarking-inference-performance-of-deep,"Dense Connections, Convolution, Softmax, VGG, Max Pooling, ReLU, Dropout",VGG,,,,,
self-supervised-transformers-for-activity,"Layer Normalization, Dense Connections, Label Smoothing, Transformer, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, Adam, Multi-Head Attention, Absolute Position Encodings, BPE, Dropout, Linear Layer, Residual Connection",Transformer,,,,,
a-robust-solution-of-a-statistical-inverse,Linear Regression,Linear Regression,,,,,
experiments-on-transfer-learning,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
energy-forecasting-in-smart-grid-systems-a,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
castelo-clustered-atom-subtypes-aided-lead,AutoEncoder,Autoencoder,,,,,
two-stage-transformer-model-for-covid-19-fake,"Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay, Position-Wise Feed-Forward Layer, Adam, Absolute Position Encodings, BPE, Dropout, Linear Layer, Attention Dropout, ALBERT, GELU, Dense Connections, Label Smoothing, Transformer, LAMB, Multi-Head Attention, WordPiece, Residual Connection",BERT,Transformer,ALBERT,,,
neural-networks-for-pulmonary-disease,DCNN,CNN,DCNN,,,,
a-novel-sentiment-analysis-engine-for,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, RoBERTa, Weight Decay",BERT,RoBERTa,,,,
lockedge-low-complexity-cyberattack-detection,SVM,SVM,,,,,
self-supervised-contrastive-learning-for-2,"ResNet, Average Pooling, Dense Connections, Global Average Pooling, ColorJitter, Bottleneck Residual Block, Residual Connection, Feedforward Network, NT-Xent, Random Gaussian Blur, Residual Block, Convolution, Max Pooling, SimCLR, 1x1 Convolution, ReLU, Kaiming Initialization, Random Resized Crop, Batch Normalization",ResNet,,,,,
noma-in-uav-aided-cellular-offloading-a,"DQN, Dense Connections, Q-Learning, Convolution",Q-Learning,,,,,
a-generative-model-to-synthesize-eeg-data-for,"Leaky ReLU, DCGAN, Convolution, SVM, ReLU, Batch Normalization",SVM,GAN,DCGAN,,,
a-role-for-prior-knowledge-in-statistical,"Logistic Regression, SVM, Feature Selection",SVM,Logistic Regression,,,,
using-machine-learning-to-calibrate-storm,Logistic Regression,Logistic Regression,,,,,
fit-a-fast-and-accurate-framework-for-solving,AutoEncoder,Autoencoder,,,,,
improving-protein-gamma-turn-prediction-using,Capsule Network,Capsule Network,,,,,
capsule-deep-neural-network-for-recognition,Capsule Network,Capsule Network,,,,,
